,GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,MPG,PlayerFP,GameFP/36,TeamFP,PTS/36,FGA/36,A/36,TOT/36,TO/36,ST/36,BL/36
0,NBA 2020-2021 Regular Season,22000001,2020-12-22,203952,Andrew Wiggins,F,Golden State,Brooklyn,R,Y,31.23,4,16,2,6,3,4,0,2,2,1,4,0,4,1,13,26.31,3+,31.4,18.0,20.7,216.75,14.985590778097983,18.443804034582133,1.1527377521613833,2.3054755043227666,4.610951008645533,0.0,1.1527377521613833
1,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629672,Eric Paschall,F,Golden State,Brooklyn,R,Y,21.55,2,6,1,1,1,2,1,0,1,0,1,0,0,1,6,12.05,3+,17.7,9.75,16.3,216.75,10.023201856148491,10.023201856148491,0.0,1.6705336426914152,0.0,0.0,1.6705336426914152
2,NBA 2020-2021 Regular Season,22000001,2020-12-22,1630164,James Wiseman,C,Golden State,Brooklyn,R,Y,24.28,7,13,1,1,4,8,1,5,6,0,2,2,1,0,19,27.25,3+,20.9,30.5,45.2,216.75,28.17133443163097,19.275123558484346,0.0,8.896210873146622,1.4827018121911038,2.9654036243822075,0.0
3,NBA 2020-2021 Regular Season,22000001,2020-12-22,1626162,Kelly Oubre Jr.,F-G,Golden State,Brooklyn,R,Y,25.65,3,14,0,6,0,0,4,3,7,2,1,1,3,2,6,25.02,3+,27.7,22.25,31.2,216.75,8.421052631578949,19.649122807017548,2.8070175438596494,9.824561403508774,4.210526315789474,1.4035087719298247,2.8070175438596494
4,NBA 2020-2021 Regular Season,22000001,2020-12-22,201939,Stephen Curry,G,Golden State,Brooklyn,R,Y,30.32,7,21,2,10,4,4,3,1,4,10,1,2,3,0,20,32.08,3+,33.5,43.5,51.6,216.75,23.7467018469657,24.934036939313984,11.87335092348285,4.74934036939314,3.5620052770448547,2.37467018469657,0.0
5,NBA 2020-2021 Regular Season,22000001,2020-12-22,1626172,Kevon Looney,F,Golden State,Brooklyn,R,N,11.28,2,4,0,0,0,1,0,2,2,0,3,0,2,0,4,21.56,3+,14.7,5.5,17.6,216.75,12.76595744680851,12.76595744680851,0.0,6.382978723404255,6.382978723404255,0.0,0.0
6,NBA 2020-2021 Regular Season,22000001,2020-12-22,203145,Kent Bazemore,G-F,Golden State,Brooklyn,R,N,11.58,1,2,0,1,0,0,0,2,2,2,3,1,2,0,2,13.04,3+,15.1,8.5,26.4,216.75,6.217616580310881,6.217616580310881,6.217616580310881,6.217616580310881,6.217616580310881,3.1088082901554404,0.0
7,NBA 2020-2021 Regular Season,22000001,2020-12-22,1627814,Damion Lee,G-F,Golden State,Brooklyn,R,N,12.23,1,2,1,1,0,0,1,6,7,2,0,0,0,0,3,6.17,3+,18.6,15.25,44.9,216.75,8.83074407195421,5.8871627146361405,5.8871627146361405,20.605069501226495,0.0,0.0,0.0
8,NBA 2020-2021 Regular Season,22000001,2020-12-22,1627737,Marquese Chriss,F,Golden State,Brooklyn,R,N,12.43,4,10,1,3,0,0,3,5,8,1,2,0,0,0,9,30.38,3+,13.4,21.0,60.8,216.75,26.06596942880129,28.962188254223655,2.8962188254223653,23.169750603378922,0.0,0.0,0.0
9,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629673,Jordan Poole,G,Golden State,Brooklyn,R,N,17.92,1,4,0,1,0,0,0,2,2,3,2,0,2,0,2,12.64,3+,9.6,8.0,16.1,216.75,4.017857142857142,8.035714285714285,6.0267857142857135,4.017857142857142,4.017857142857142,0.0,0.0
10,NBA 2020-2021 Regular Season,22000001,2020-12-22,202954,Brad Wanamaker,G,Golden State,Brooklyn,R,N,21.67,0,2,0,1,3,4,0,1,1,3,2,0,1,0,3,8.29,3+,16.5,8.25,13.7,216.75,4.983848638670973,3.3225657591139823,4.983848638670973,1.6612828795569912,1.6612828795569912,0.0,0.0
11,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629308,Juan Toscano-Anderson,F,Golden State,Brooklyn,R,N,13.25,2,2,0,0,0,0,0,4,4,2,3,0,0,2,4,5.7,3+,14.0,16.0,43.5,216.75,10.867924528301886,5.433962264150943,5.433962264150943,10.867924528301886,0.0,0.0,5.433962264150943
12,NBA 2020-2021 Regular Season,22000001,2020-12-22,1628539,Mychal Mulder,G,Golden State,Brooklyn,R,N,6.6,3,3,2,2,0,0,0,1,1,0,0,0,0,0,8,17.16,3+,10.3,10.25,55.9,216.75,43.63636363636364,16.363636363636367,0.0,5.454545454545455,0.0,0.0,0.0
13,NBA 2020-2021 Regular Season,22000001,2020-12-22,203925,Joe Harris,G-F,Brooklyn,Golden State,H,Y,20.77,4,8,2,5,0,0,2,5,7,2,2,0,2,1,10,18.33,3+,31.5,23.75,41.2,265.75,17.332691381800675,13.866153105440539,3.4665382763601347,12.132883967260472,3.4665382763601347,0.0,1.7332691381800673
14,NBA 2020-2021 Regular Season,22000001,2020-12-22,201142,Kevin Durant,F,Brooklyn,Golden State,H,Y,24.93,7,16,1,2,7,7,1,4,5,3,3,3,1,1,22,30.67,3+,36.8,40.75,58.8,265.75,31.76895306859206,23.104693140794225,4.332129963898917,7.220216606498195,1.444043321299639,4.332129963898917,1.444043321299639
15,NBA 2020-2021 Regular Season,22000001,2020-12-22,201599,DeAndre Jordan,C,Brooklyn,Golden State,H,Y,17.05,2,3,0,0,0,2,2,9,11,1,2,1,3,1,4,15.36,3+,20.5,21.75,45.9,265.75,8.44574780058651,6.334310850439882,2.1114369501466275,23.225806451612904,6.334310850439882,2.1114369501466275,2.1114369501466275
16,NBA 2020-2021 Regular Season,22000001,2020-12-22,203915,Spencer Dinwiddie,G,Brooklyn,Golden State,H,Y,19.95,2,6,1,3,4,4,0,5,5,4,1,0,3,0,9,20.53,3+,21.4,20.25,36.5,265.75,16.2406015037594,10.827067669172932,7.218045112781955,9.022556390977442,5.413533834586466,0.0,0.0
17,NBA 2020-2021 Regular Season,22000001,2020-12-22,202681,Kyrie Irving,G,Brooklyn,Golden State,H,Y,25.3,10,16,4,7,2,2,1,3,4,4,3,0,1,0,26,26.91,3+,35.7,38.5,54.8,265.75,36.99604743083004,22.766798418972332,5.691699604743083,5.691699604743083,1.4229249011857708,0.0,0.0
18,NBA 2020-2021 Regular Season,22000001,2020-12-22,1628386,Jarrett Allen,C,Brooklyn,Golden State,H,N,19.62,2,3,0,0,4,5,3,4,7,2,0,1,2,2,8,13.97,3+,26.6,24.75,45.4,265.75,14.678899082568806,5.504587155963303,3.6697247706422016,12.844036697247706,3.6697247706422016,1.8348623853211008,3.6697247706422016
19,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629013,Landry Shamet,G,Brooklyn,Golden State,H,N,19.72,1,4,1,4,3,4,0,1,1,0,3,1,2,0,6,14.98,3+,17.6,8.75,16.0,265.75,10.953346855983774,7.302231237322516,0.0,1.825557809330629,3.651115618661258,1.825557809330629,0.0
20,NBA 2020-2021 Regular Season,22000001,2020-12-22,1627747,Caris LeVert,G,Brooklyn,Golden State,H,N,24.82,6,17,3,5,5,6,1,8,9,5,1,2,2,1,20,33.19,3+,27.8,45.25,65.6,265.75,29.0088638195004,24.65753424657534,7.2522159548751,13.053988718775182,2.9008863819500403,2.9008863819500403,1.4504431909750202
21,NBA 2020-2021 Regular Season,22000001,2020-12-22,201145,Jeff Green,F,Brooklyn,Golden State,H,N,17.28,3,4,1,2,0,0,0,0,0,1,3,1,1,0,7,11.02,3+,25.4,10.5,21.9,265.75,14.583333333333332,8.333333333333332,2.083333333333333,0.0,2.083333333333333,2.083333333333333,0.0
22,NBA 2020-2021 Regular Season,22000001,2020-12-22,1627752,Taurean Prince,G,Brooklyn,Golden State,H,N,16.1,0,1,0,1,1,2,0,1,1,0,1,1,0,1,1,4.45,3+,18.1,6.25,14.0,265.75,2.2360248447204967,2.2360248447204967,0.0,2.2360248447204967,0.0,2.2360248447204967,2.2360248447204967
23,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629617,Reggie Perry,F-C,Brooklyn,Golden State,H,N,7.77,1,3,0,1,0,0,1,1,2,1,0,0,0,0,2,14.7,3+,10.5,6.0,27.8,265.75,9.266409266409266,13.8996138996139,4.633204633204633,9.266409266409266,0.0,0.0,0.0
24,NBA 2020-2021 Regular Season,22000001,2020-12-22,1628971,Bruce Brown,G-F,Brooklyn,Golden State,H,N,7.52,1,3,0,1,0,0,0,1,1,1,1,0,2,0,2,25.31,3+,17.6,3.75,18.0,265.75,9.574468085106382,14.361702127659576,4.787234042553191,4.787234042553191,9.574468085106382,0.0,0.0
25,NBA 2020-2021 Regular Season,22000001,2020-12-22,1627789,Timothe Luwawu-Cabarrot,G-F,Brooklyn,Golden State,H,N,6.6,2,6,1,3,0,0,1,1,2,0,2,0,1,0,5,40.38,3+,19.3,7.5,40.9,265.75,27.272727272727273,32.727272727272734,0.0,10.90909090909091,5.454545454545455,0.0,0.0
26,NBA 2020-2021 Regular Season,22000001,2020-12-22,1629066,Rodions Kurucs,F,Brooklyn,Golden State,H,N,6.6,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,5.77,3+,3.2,4.75,25.9,265.75,16.363636363636367,5.454545454545455,0.0,5.454545454545455,0.0,0.0,0.0
27,NBA 2020-2021 Regular Season,22000001,2020-12-22,204020,Tyler Johnson,G,Brooklyn,Golden State,H,N,5.98,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,6.37,3+,6.2,3.25,19.6,265.75,0.0,6.020066889632107,0.0,6.020066889632107,0.0,6.020066889632107,0.0
28,NBA 2020-2021 Regular Season,22000002,2020-12-22,202695,Kawhi Leonard,F,LA Clippers,LA Lakers,R,Y,34.0,10,26,1,8,5,5,0,2,2,3,5,2,3,0,26,37.53,3+,34.1,36.0,38.1,224.0,27.52941176470588,27.52941176470588,3.1764705882352944,2.1176470588235294,3.1764705882352944,2.1176470588235294,0.0
29,NBA 2020-2021 Regular Season,22000002,2020-12-22,201587,Nicolas Batum,G-F,LA Clippers,LA Lakers,R,Y,28.17,1,4,1,3,0,0,1,5,6,6,2,2,1,0,3,7.26,3+,29.1,23.5,30.0,224.0,3.8338658146964852,5.111821086261981,7.6677316293929705,7.6677316293929705,1.2779552715654952,2.5559105431309903,0.0
30,NBA 2020-2021 Regular Season,22000002,2020-12-22,201586,Serge Ibaka,F,LA Clippers,LA Lakers,R,Y,20.53,5,7,2,3,3,5,2,4,6,0,3,0,1,1,15,20.32,3+,25.0,25.0,43.8,224.0,26.302971261568437,12.27471992206527,0.0,10.521188504627373,1.7535314174378958,0.0,1.7535314174378958
